# Logfile created on 2026-08-08 22:31:10 +0200 by logger.rb/v1.5.3
2026-08-08 22:31:10 +0200: Memory Usage (455076K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/spi_slave.gds
2026-08-08 22:31:10 +0200: Memory Usage (455076K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : Loading database to memory is complete.
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc/spi_slave_spi_slave_topmetal2filler.lyrdb
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : Evaluate switches.
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : tables selected: topmetal2filler
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : deep mode is enabled.
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : FEOL enabled: false
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : BEOL enabled: false
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : OFFGRID enabled: true
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : ANGLE enabled: true
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : PIN enabled: false
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : FORBIDDEN enabled: false
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : RECOMMENDED enabled: true
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : PreCheck DRC enabled: false
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:31:10 +0200: Memory Usage (457160K) : Read in polygons from layers.
2026-08-08 22:31:10 +0200: Memory Usage (458784K) : activ_drw has 8060 polygons
2026-08-08 22:31:10 +0200: Memory Usage (458784K) : activ_pin has 0 polygons
2026-08-08 22:31:10 +0200: Memory Usage (458784K) : activ_mask has 0 polygons
2026-08-08 22:31:10 +0200: Memory Usage (458784K) : activ_filler has 0 polygons
2026-08-08 22:31:10 +0200: Memory Usage (458784K) : activ_nofill has 0 polygons
2026-08-08 22:31:10 +0200: Memory Usage (458912K) : activ_opc has 0 polygons
2026-08-08 22:31:10 +0200: Memory Usage (458912K) : activ_iopc has 0 polygons
2026-08-08 22:31:10 +0200: Memory Usage (458912K) : activ_noqrc has 0 polygons
2026-08-08 22:31:10 +0200: Memory Usage (458912K) : biwind_drw has 0 polygons
2026-08-08 22:31:10 +0200: Memory Usage (459040K) : biwind_opc has 0 polygons
2026-08-08 22:31:10 +0200: Memory Usage (459040K) : pemwind_drw has 0 polygons
2026-08-08 22:31:10 +0200: Memory Usage (459040K) : gatpoly_drw has 8381 polygons
