# Logfile created on 2026-08-08 22:50:28 +0200 by logger.rb/v1.5.3
2026-08-08 22:50:28 +0200: Memory Usage (454672K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/spi-slave-ihp/flow/runs/RUN_2026-08-08_22-27-58/final/klayout_gds/spi_slave.klayout.gds
2026-08-08 22:50:28 +0200: Memory Usage (454672K) : Ruby Version for klayout: 3.2.3
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : Loading database to memory is complete.
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/spi-slave-ihp/signoff/drc_noring/spi_slave.klayout_spi_slave_topmetal2filler.lyrdb
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : Evaluate switches.
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : tables selected: topmetal2filler
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : KLayout will use 8 thread(s) in tiling mode.
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : deep mode is enabled.
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : FEOL enabled: false
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : BEOL enabled: false
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : OFFGRID enabled: true
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : ANGLE enabled: true
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : PIN enabled: false
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : FORBIDDEN enabled: false
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : RECOMMENDED enabled: true
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : PreCheck DRC enabled: false
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : CONNECTIVITY_RULES enabled: false.
2026-08-08 22:50:28 +0200: Memory Usage (456128K) : Read in polygons from layers.
2026-08-08 22:50:29 +0200: Memory Usage (457432K) : activ_drw has 7986 polygons
2026-08-08 22:50:29 +0200: Memory Usage (457560K) : activ_pin has 0 polygons
